Имя документа;Флеш;Время прочтения;Ср. дл. предл.;20% частых;80% редких;частые сост. 80% слов. состава;редкие - 20% состава
Акцизы;4,990;2,158;28,848;247,600;990,400;234,000;1004,000
Аудит;-15,290;0,246;15,837;134,000;536,000;244,000;426,000
Водный налог;32,460;0,584;18,354;168,800;675,200;236,000;608,000
Государственная пошлина;30,230;0,734;16,277;141,800;567,200;155,000;554,000
Делопроизводство и архив;15,317;0,687;11,506;276,200;1104,800;426,000;955,000
Доказательство недобросовестности налогоплательщиков;12,071;0,785;27,528;237,400;949,600;376,000;811,000
Досудебное урегулирование налоговых споров;12,909;0,818;20,338;187,400;749,600;212,000;725,000
ЕНВД;31,321;0,555;17,138;174,800;699,200;274,000;600,000
ЕСХН;30,770;0,528;15,395;176,000;704,000;261,000;619,000
Замещение должностей ГГС в РФ;13,559;2,529;18,578;391,400;1565,600;359,000;1598,000
Земельный налог с организаций;22,320;0,520;16,887;131,400;525,600;156,000;501,000
Земельный налог с физлиц;22,412;0,556;16,767;133,600;534,400;149,000;519,000
Информ_документ_обеспечение;-2,438;1,464;16,179;461,600;1846,400;618,000;1690,000
Коммуникационный менеджмент;26,044;1,709;11,526;752,000;3008,000;1194,000;2566,000
Контроль за применением ККТ;20,267;1,268;18,507;251,000;1004,000;281,000;974,000
Конфликтология;46,599;0,176;13,838;146,200;584,800;415,000;316,000
Международная практика регулирования трансфертного ценообразования;16,503;0,678;12,987;343,600;1374,400;589,000;1129,000
Менеджмент;19,997;2,153;13,116;795,000;3180,000;1144,000;2831,000
Налог и администр правонаруш;2,074;1,804;21,696;336,600;1346,400;327,000;1356,000
Налог на добавленную стоимость;21,350;3,957;23,720;506,800;2027,200;420,000;2114,000
Налог на добычу полезных ископаемых;18,565;0,875;27,820;199,000;796,000;244,000;751,000
Налог на доходы физических лиц;28,006;2,237;17,733;326,200;1304,800;286,000;1345,000
Налог на игорный бизнес;35,928;0,561;15,683;126,800;507,200;134,000;500,000
Налог на имущество организаций;11,115;0,802;24,110;180,800;723,200;201,000;703,000
Налог на имущество физических лиц;29,497;0,336;15,153;114,000;456,000;187,000;383,000
Налог на прибыль организаций;35,604;4,358;12,772;518,000;2072,000;454,000;2136,000
Налоги и налогообложение в схемах;31,153;0,589;22,125;288,400;1153,600;504,000;938,000
Налоговое администрирование;3,714;4,597;24,767;435,400;1741,600;359,000;1818,000
Налоговые системы зарубежных стран;26,653;1,798;13,612;565,400;2261,600;741,000;2086,000
Налогообл операций с ЦБ;57,671;1,432;21,590;209,800;839,200;257,000;792,000
Обеспечение процедур банкротства;1,400;4,666;29,331;427,600;1710,400;339,000;1799,000
Орг правов основы ГГС;7,920;3,156;21,708;429,200;1716,800;349,000;1797,000
Организация ДПО ГГС;-10,459;1,246;16,587;292,800;1171,200;282,000;1182,000
Организация и методика проведения налоговых проверок;17,118;1,911;18,283;334,000;1336,000;342,000;1328,000
Организация работы со СМИ;26,269;0,841;13,216;406,200;1624,800;741,000;1290,000
ПИК Кадры;31,518;1,018;14,264;239,200;956,800;294,000;902,000
Планирование выездных налог проверок, предпроверочный анализ;8,217;1,638;22,242;364,600;1458,400;428,000;1395,000
Правовое регулир налог отношен;0,353;2,717;19,852;443,600;1774,400;405,000;1813,000
противод коррупции в сфере Госупр;-1,607;1,329;22,857;358,000;1432,000;399,000;1391,000
Сборник задач и тестов_Спецрежимы;46,040;0,531;11,007;157,600;630,400;233,000;555,000
Сборы за пользование объектами водного мира;30,747;0,800;21,191;200,600;802,400;217,000;786,000
Система госуправления;-5,816;2,606;16,814;530,600;2122,400;450,000;2203,000
Система налогообложения при выполнении соглашений о разделе продукции;16,968;0,753;28,243;145,800;583,200;184,000;545,000
служебное поведение ГГС_Кокорев;36,701;0,652;9,705;391,600;1566,400;808,000;1150,000
Спич- и копи- райтинг;26,228;0,195;12,704;198,600;794,400;635,000;358,000
транспортный налог с организаций;34,488;0,364;13,553;114,600;458,400;176,000;397,000
транспортный налог с физлиц;34,835;0,405;14,566;136,400;545,600;206,000;476,000
Трансф_ЦО;24,987;2,587;20,851;405,000;1620,000;373,000;1652,000
Управление персоналом ГГС в налоговых органах;1,747;3,845;16,402;626,000;2504,000;513,000;2617,000
урегулирование задолженности;10,344;1,768;23,620;272,600;1090,400;248,000;1115,000
УСН;32,685;0,896;17,997;249,800;999,200;318,000;931,000
Финансовый анализ деятельности коммерческой организации;20,457;4,124;12,790;595,600;2382,400;457,000;2521,000
Финансовый учет и отчетность;18,890;5,151;16,030;636,000;2544,000;519,000;2661,000
Этика и этикет ГГС;0,444;0,600;19,405;298,200;1192,800;497,000;994,000
